Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10107,B,311,57.71181,11.98477,57.71124,11.99335,29.2135,Vertical,0.51516,0.3,0.3
10108,A,624,57.70765,11.94183,57.70993,11.91663,33.201,Vertical,1.52357,0.3,0.3
10108,B,623,57.70993,11.91663,57.70765,11.94183,32.389,Vertical,1.52357,0.3,0.3
10109,A,368,57.67795,11.93752,57.67292,11.91856,29.1865,Vertical,1.26221,0.3,0.3
10109,B,367,57.67292,11.91856,57.67795,11.93752,28.1785,Vertical,1.26221,0.3,0.3
10110,A,666,57.70403,11.96329,57.71181,11.98477,37.1535,Vertical,1.5458,0.3,0.3
10110,B,665,57.71181,11.98477,57.70403,11.96329,38.416,Vertical,1.5458,0.3,0.3
10111,A,508,57.68621,11.94656,57.68479,11.96203,38.584,Vertical,0.93645,0.3,0.3
10111,B,507,57.68479,11.96203,57.68621,11.94656,37.324,Vertical,0.93645,0.3,0.3
10112,A,496,57.66875,11.89183,57.64947,11.89227,33.229,Vertical,2.14707,0.3,0.3
10112,B,494,57.64947,11.89227,57.66875,11.89183,32.417,Vertical,2.14707,0.3,0.3
10113,A,642,57.69952,11.90924,57.70174,11.91605,38.472,Vertical,0.47569,0.3,0.3
10113,B,641,57.70174,11.91605,57.69952,11.90924,37.212,Vertical,0.47569,0.3,0.3
10114,A,416,57.72226,11.95361,57.72804,11.95542,38.5,Vertical,0.6524,0.3,0.3
10114,B,415,57.72804,11.95542,57.72226,11.95361,37.24,Vertical,0.6524,0.3,0.3
10115,A,631,57.70452,11.9727,57.70537,11.97092,29.1865,Vertical,0.14225,0.3,0.3
10115,B,632,57.70537,11.97092,57.70452,11.9727,28.178,Vertical,0.14225,0.3,0.3
10116,A,412,57.6781,11.98416,57.68652,11.98636,29.2705,Vertical,0.947,0.3,0.3
10116,B,410,57.68652,11.98636,57.6781,11.98416,28.2625,Vertical,0.947,0.3,0.3
10117,A,429,57.71178,12.08525,57.71552,12.05015,38.584,Vertical,2.13298,0.3,0.3
10117,B,430,57.71552,12.05015,57.71178,12.08525,37.324,Vertical,2.13298,0.3,0.3
10118,A,564,57.71756,12.06002,57.71552,12.05015,38.556,Vertical,0.63066,0.3,0.3
10118,B,563,57.71552,12.05015,57.71756,12.06002,37.296,Vertical,0.63066,0.3,0.3
10119,A,293,57.72412,12.08328,57.75606,12.06644,32.445,Vertical,3.69454,0.3,0.3
10119,B,292,57.75606,12.06644,57.72412,12.08328,33.257,Vertical,3.69454,0.3,0.3
10120,A,95,57.73853,12.11447,57.74415,12.12731,37.296,Vertical,0.98814,0.3,0.3
10120,B,96,57.74415,12.12731,57.73853,12.11447,38.556,Vertical,0.98814,0.3,0.3
10121,A,294,57.72571,12.13316,57.75606,12.06644,32.361,Vertical,5.21594,0.3,0.3
10121,B,290,57.75606,12.06644,57.72571,12.13316,33.173,Vertical,5.21594,0.3,0.3
10122,A,488,57.74415,12.12731,57.7371,12.08794,33.173,Vertical,2.47227,0.3,0.3
10122,B,486,57.7371,12.08794,57.74415,12.12731,32.361,Vertical,2.47227,0.3,0.3
10123,A,48,57.7567,12.15821,57.72974,12.12133,29.1865,Vertical,3.71942,0.3,0.3
10123,B,47,57.72974,12.12133,57.7567,12.15821,28.1785,Vertical,3.71942,0.3,0.3
10124,A,524,57.7431,12.16273,57.74415,12.12731,37.268,Vertical,2.11263,0.3,0.3
10124,B,523,57.74415,12.12731,57.7431,12.16273,38.528,Vertical,2.11263,0.3,0.3
10125,A,261,57.70386,12.15294,57.69402,12.13715,37.296,Vertical,1.44439,0.3,0.3
10125,B,262,57.69402,12.13715,57.70386,12.15294,38.556,Vertical,1.44439,0.3,0.3
10126,A,238,57.66429,12.11279,57.67648,12.09582,28.2065,Vertical,1.69253,0.3,0.3
10126,B,235,57.67648,12.09582,57.66429,12.11279,29.2145,Vertical,1.69253,0.3,0.3
10127,A,24,57.66449,12.0195,57.68194,12.00302,28.1785,Vertical,2.17676,0.3,0.3
10127,B,23,57.68194,12.00302,57.66449,12.0195,29.1865,Vertical,2.17676,0.3,0.3
10128,A,232,57.65908,12.13829,57.67648,12.09582,28.178,Vertical,3.18898,0.3,0.3
10128,B,231,57.67648,12.09582,57.65908,12.13829,29.1865,Vertical,3.18898,0.3,0.3
10129,A,183,57.64468,12.15882,57.61683,12.16657,29.2425,Vertical,3.13401,0.3,0.3
10129,B,184,57.61683,12.16657,57.64468,12.15882,28.2345,Vertical,3.13401,0.3,0.3
10130,A,376,57.68802,12.19611,57.6775,12.22863,28.2345,Vertical,2.26595,0.3,0.3
10130,B,375,57.6775,12.22863,57.68802,12.19611,29.2425,Vertical,2.26595,0.3,0.3
10131,A,626,57.6775,12.22863,57.68196,12.14913,19.205,Vertical,4.76897,0.6,0.6
10131,B,625,57.68196,12.14913,57.6775,12.22863,18.195,Vertical,4.76897,0.6,0.6
10132,A,373,57.69883,12.27118,57.70899,12.33996,28.2345,Vertical,4.2544,0.3,0.3
10132,B,374,57.70899,12.33996,57.69883,12.27118,29.2425,Vertical,4.2544,0.3,0.3
10133,A,240,57.68857,12.28659,57.70899,12.33996,28.1785,Vertical,3.91144,0.3,0.3
10133,B,239,57.70899,12.33996,57.68857,12.28659,29.1865,Vertical,3.91144,0.3,0.3
10134,A,391,57.67153,12.36057,57.67169,12.30099,28.2625,Vertical,3.55523,0.6,0.6
10134,B,388,57.67169,12.30099,57.67153,12.36057,29.2705,Vertical,3.55523,0.6,0.6
10135,A,389,57.67153,12.36057,57.67169,12.30099,28.1785,Vertical,3.55523,0.3,0.3
10135,B,392,57.67169,12.30099,57.67153,12.36057,29.1865,Vertical,3.55523,0.3,0.3
